Title,Source,Author,Abstract,Year,Web_Address
A New Global Competition is on the Rise. Artificial Intelligence as a Means of Gaining a Competitive Military Advantage,Journal of Defense and Military Studies,"Dinicu, A.","AI affects global organizations at various levels, requiring strategic responses.",2022.0,https://dx.doi.org/10.2478/raft-2022-0045
Artificial Intelligence and Automation in Human Resource Management,SAGE Journals,,,,https://journals.sagepub.com/doi/10.1177/15344843231224009
Artificial Intelligence and Business Strategy Towards Digital Transformation: A Research Agenda,ResearchGate,,,,https://www.researchgate.net/publication/349301839_Artificial_Intelligence_and_Business_Strategy_Towards_Digital_Transformation_A_Research_Agenda
Artificial Intelligence and its Impact in International Relations,Journal of Politics and International Affairs,"Meleouni, C., & Efthymiou, I.-P.",AI is reshaping international relations through automation and predictive analytics.,2023.0,https://dx.doi.org/10.12681/jpentai.35803
Artificial Intelligence: College Sidekick,College Sidekick,,,,https://www.collegesidekick.com/study-docs/12824311
Business and morals: Corporate strategies for sustainable development in China,Business and Politics,"Dan Banik, Ka Lin","Abstract There has been considerable attention in recent years on the close linkages between business, ethics, and economic development.",2019.0,https://www.semanticscholar.org/paper/041c2323b2d9f7b60f00667aca477c5a7c24fc4d
Comparing better building design and operation to other corporate strategies for improving organizational productivity: a review and synthesis,Intelligent Buildings International,"G. Newsham, J. Veitch, M. Zhang, A. Galasiu",ABSTRACT ‘Better buildings’ are intended to improve employee well-being and other important organizational productivity metrics.,2019.0,https://www.semanticscholar.org/paper/8209742a9d6c7ebdc8ef2c9444612a42e5abd9db
Corporate philanthropy and firm performance: the role of corporate strategies,Society and Business Review,"Won-sang Cha, Dong-Young Rew, Joo-Youn Jung",,2022.0,https://www.semanticscholar.org/paper/440382ac58bf743b50d2b8383ed3e07790b3bfc1
"Corporate strategies oriented towards sustainable governance: advantages, managerial practices and main challenges",Journal of Management and Governance,"I. Hristov, A. Chirico, F. Ranalli",,2021.0,https://www.semanticscholar.org/paper/c13998bfa7539604d6aa3e2c553b94a1b4f50cd1
Do digital technologies pay off? A meta-analytic review of the digital era,ScienceDirect,,,,https://www.sciencedirect.com/science/article/pii/S0166497223001475
Economic potential of generative AI,McKinsey & Company,,,,https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/the-economic-potential-of-generative-ai-the-next-productivity-frontier
Embedding CSR in Corporate Strategies,Inproceedings,"Ilona Szőcs, B. Schlegelmilch",,2020.0,https://www.semanticscholar.org/paper/72174345798d658036edd2bc9663201eb3645c62
Explainable Artificial Intelligence (XAI),International Journal of Food and Nutritional Science,"Ranu Sewada, Ashwani Jangid, Piyush Kumar, Neha Mishra","Explainable Artificial Intelligence (XAI) has emerged as a critical facet in the realm of machine learning and artificial intelligence, responding to the increasing complexity of models, particularly deep neural networks, and the subsequent need for transparent decision making processes. This research paper delves into the essence of XAI, unraveling its significance across diverse domains such as healthcare, finance, and criminal justice. As a countermeasure to the opacity of intricate models, the paper explores various XAI methods and techniques, including LIME and SHAP, weighing their interpretability against computational efficiency and accuracy. Through an examination of real-world applications, the research elucidates how XAI not only enhances decision-making processes but also influences user trust and acceptance in AI systems. However, the paper also scrutinizes the delicate balance between interpretability and performance, shedding light on instances where the pursuit of accuracy may compromise explain-ability. Additionally, it navigates through the current challenges and limitations in XAI, the regulatory landscape surrounding AI explain-ability, and offers insights into future trends and directions, fostering a comprehensive understanding of XAI's present state and future potential.",2023.0,https://www.semanticscholar.org/paper/e1d2f2a717aa03280126f87c8e5fad695f52bf7c
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI",Information Fusion,"Alejandro Barredo Arrieta, Natalia Díaz Rodríguez, J. Ser, Adrien Bennetot, S. Tabik, A. Barbado, S. García, S. Gil-Lopez, D. Molina, Richard Benjamins, Raja Chatila, Francisco Herrera",,2019.0,https://www.semanticscholar.org/paper/530a059cb48477ad1e3d4f8f4b153274c8997332
Financial constraints and corporate greenwashing strategies in China,Corporate Social Responsibility and Environmental Management,"Fan Xia, Jiaying Chen, Xue Yang, Xiaoliang Li, Bing Zhang",,2023.0,https://www.semanticscholar.org/paper/4ffc27724ebc83d577314e0e197f7f1cb80a710d
Global Governance of Artificial Intelligence: Next Steps for Empirical Research,Oxford Academic,,,,https://academic.oup.com/isr/article/25/3/viad040/7259354
Global policy and governance in Artificial Intelligence regulation—A holistic view,Springer,,,,https://link.springer.com/article/10.1007/s44163-024-00109-4
High-performance medicine: the convergence of human and artificial intelligence,Nature Network Boston,E. Topol,,2019.0,https://www.semanticscholar.org/paper/f134abeaf9bfd41f29b97aec675ec31895bf541d
Impact of artificial intelligence on business strategy in emerging markets: A conceptual framework and future research directions,ResearchGate,,,,https://www.researchgate.net/publication/359116734_Impact_of_artificial_intelligence_on_business_strategy_in_emerging_markets_A_conceptual_framework_and_future_research_directions
National Artificial Intelligence Research and Development Strategic Plan 2023 Update,White House,,,,https://www.whitehouse.gov/wp-content/uploads/2023/05/National-Artificial-Intelligence-Research-and-Development-Strategic-Plan-2023-Update.pdf
On the current state of combining human and artificial intelligence in organizational decision-making,Springer,,,,https://link.springer.com/article/10.1007/s40685-020-00133-x
Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),IEEE Access,"Amina Adadi, M. Berrada","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.",2018.0,https://www.semanticscholar.org/paper/21dff47a4142445f83016da0819ffe6dd2947f66
Prospects of the Development of Artificial Intelligence in the World Arena,International Journal of Public Policy,"Deshevykh, N. S., & Yudaev, V.",AI is expected to change global governance and mitigate military and economic risks.,2020.0,https://dx.doi.org/10.17922/2412-5466-2020-6-2-58-64
Regulating Artificial Intelligence: Proposal for a Global Solution,Journal of Ethics and Artificial Intelligence,"Erdélyi, O. J., & Goldsmith, J.",An international AI regulatory agency can address legal and ethical challenges.,2018.0,https://dx.doi.org/10.1145/3278721.3278731
Responsible Artificial Intelligence Development: the Role of Organizational Culture and Perceived Organizational Justice,International Conference on Artificial Intelligence,"Mohammadabbasi, M., Moharrami, R., & Jafari, S.",Perceived organizational justice plays a mediating role between organizational culture and the development of responsible artificial intelligence within organizations.,2022.0,https://dx.doi.org/10.1109/ICAIoT57170.2022.10121859
Robust Artificial Intelligence and Robust Human Organizations,Journal of Artificial Intelligence Research,"Dietterich, T. G.",The abstract does not provide specific information about the impact or influence of artificial intelligence on global organizations.,2018.0,https://dx.doi.org/10.1007/s11704-018-8900-4
